"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"vishay_TFBS4711";1;"TFBS4711";;;
2;"U1";"TQFP32";1;"ATMEGA328P-AU";;;
3;"SW1";"SW_PUSH_SMD";1;"SW_PUSH_SMALL";;;
4;"U7";"SOT23-5";1;"MIC5205";;;
5;"U8";"SOT223";1;"AMS1117";;;
6;"U2";"so-14";1;"MCP2120-SL";;;
7;"C15,C12,C11,C10,C17,C16,C3,C5";"SM0805";8;"0.1uf";;;
8;"R24,R22,R23,R20,R21,R7";"SM0805";6;"10K";;;
9;"R19,R18";"SM0805";2;"1K";;;
10;"C7,C14,C13,C6";"SM0805";4;"22pf";;;
11;"C8,C2,C4";"SM0805";3;"4.7uf";;;
12;"C9";"SM0805";1;"0.22uf";;;
13;"R17";"SM0805";1;"0 Ohm";;;
14;"R16";"SM0805";1;"47 Ohm";;;
15;"P1";"SIL-6";1;".1in Header";;;
16;"P2,P5,P4,P6";"SIL-2";4;"Header";;;
17;"J17,J18";"SIL-12";2;"Header";;;
18;"JP1,JP3,JP2,JP4,JP5";"S_JUMPER_3";5;"JUMPER3";;;
19;"R25,R28";"r_CN2A4";2;"220 Ohm";;;
20;"R26,R27";"r_CN2A4";2;"330 Ohm";;;
21;"X2";"Q_49U3HMS";1;"16.000Mhz";;;
22;"X1";"Q_49U3HMS";1;"7.3728Mhz";;;
23;"J5,J1,J9,J13";"PIN_ARRAY_3X1";4;"Header";;;
24;"PZ1";"piezo_spkr";1;"PIEZO Speaker";;;
25;"U4";"pca9306dcu";1;"PCA9306";;;
26;"D10,D9,D7,D8,D4,D6,D1,D2,D3,D5";"LED-0805";10;"LED";;;
27;"U5";"HMC5883L_bigpads";1;"HMC5883";;;
28;"P3";"con-jst2-SM04B-SRSS-TB";1;"SM04B-SRSS-TB";;;
29;"C18,C1,C20,C21,C19";"c_tant_B";5;"10uf";;;
30;"U9";"PCA9685";1;"PCA9685";;;
31;"P7,P8";"SIL-2";2;"CONN_2";;;
32;"1PIN,1PIN,1PIN,1PIN";"Mhole";4;"P***";;;
33;"PressFitPCB,PressFitPCB";"PressFitPCB";2;"VAL**";;;
34;"G***";"Logo_silk_OSHW_6x6mm";1;"LOGO";;;
35;"VAL";"LOGO";1;"REF";;;
